priority,issue_type,reporter,vote_count,comment_count,description_length,summary_length,watch_count,issue_number,num_components,component_java,num_affected_versions,num_labels,created_weekday,created_month,duration
Critical,Bug,scott_carey,0,2,41.0,43,2,1349,0,0,0,0,3,6,0 days 00:11:42.315000
Major,Bug,skye,0,6,528.0,55,6,1346,1,0,1,0,3,6,13 days 23:36:48.400000
Minor,Improvement,bdechoux,0,7,279.0,40,5,1337,0,0,1,0,1,5,77 days 21:50:06.270000
Critical,Bug,kirwin,0,4,1025.0,45,3,1326,1,1,1,0,2,5,1 days 05:16:18.660000
Minor,New Feature,vince83,6,4,1260.0,45,4,1330,1,1,0,0,2,5,13 days 03:21:04.719000
Minor,New Feature,vince83,6,4,1409.0,43,4,1328,1,1,0,1,4,5,17 days 22:31:41.713000
Major,Improvement,bw123,0,4,463.0,49,3,1324,1,0,3,0,1,5,17 days 02:03:29.325000
Major,Bug,trochee,0,6,625.0,44,4,1331,1,1,0,0,2,5,0 days 23:38:54.608000
Major,Improvement,hernan.otero,0,4,449.0,69,3,1327,1,1,1,0,2,5,1 days 03:55:19.035000
Major,Bug,massie,0,8,170.0,59,3,1322,1,0,1,0,0,5,2 days 23:49:23.706000
Major,Bug,cutting,0,8,161.0,46,2,1320,1,1,0,0,0,5,1 days 21:12:00.143000
Major,New Feature,cutting,0,3,235.0,32,2,1319,1,1,0,0,0,5,3 days 00:47:28.846000
Minor,Improvement,scott_carey,0,5,119.0,49,2,1314,1,1,0,0,1,4,15 days 01:20:55.177000
Major,Bug,scott_carey,0,4,300.0,45,2,1311,0,0,1,0,0,4,21 days 06:13:20.199000
Major,Bug,szesch,0,4,835.0,51,3,1309,1,1,1,0,0,4,0 days 23:44:18.858000
Major,Bug,szesch,0,7,424.0,41,3,1308,1,1,0,0,0,4,1 days 03:35:00.231000
Minor,New Feature,vince83,0,7,1206.0,51,4,1307,1,1,0,0,0,4,4 days 05:38:12.233000
Minor,Improvement,minaguib,0,7,171.0,72,4,1306,1,1,1,2,6,4,3 days 14:15:23.355000
Major,Bug,kryzthov,0,4,799.0,115,3,1300,1,1,1,0,3,4,4 days 13:20:31.194000
Major,Bug,cutting,0,5,221.0,60,2,1295,1,1,0,0,2,4,6 days 04:52:33.869000
Major,New Feature,martinkl,0,5,158.0,41,3,1288,1,0,0,0,2,4,10 days 00:00:30.190000
Major,Bug,martinkl,0,4,382.0,56,3,1272,1,0,1,0,6,3,8 days 22:16:21.021000
Minor,Improvement,sujesh.chirackkal,0,0,189.0,40,1,1298,1,1,2,0,5,4,0 days 00:19:42.417000
Major,Bug,drussel,0,6,186.0,61,4,1290,1,0,1,0,3,4,69 days 20:35:20.645000
Minor,Improvement,romixlev,0,21,562.0,51,3,1277,1,1,1,0,3,3,32 days 23:51:24.347000
Major,Bug,ahanna,0,1,2105.0,45,2,1271,2,1,1,0,2,3,0 days 02:07:38.846000
Major,Bug,cutting,0,0,139.0,54,1,1264,1,0,0,0,3,2,0 days 05:46:10.012000
Major,Bug,martinkl,0,4,150.0,47,3,1258,1,0,1,0,1,2,0 days 06:54:55.145000
Major,Bug,martinkl,0,4,440.0,41,3,1257,1,0,1,0,1,2,0 days 07:34:33.438000
Minor,Improvement,trochee,0,6,709.0,75,3,1255,1,0,1,1,3,2,0 days 02:35:53.245000
Minor,Improvement,ted.m,0,7,312.0,37,3,1254,0,0,0,0,3,2,5 days 02:02:53.715000
Minor,Improvement,ted.m,0,3,478.0,42,3,1253,0,0,1,0,3,2,0 days 06:50:45.326000
Minor,New Feature,cutting,0,5,283.0,55,2,1252,1,1,0,0,1,2,7 days 01:23:51.095000
Minor,Bug,ted.m,0,12,433.0,49,4,1251,1,1,1,0,1,2,2 days 20:32:41.035000
Major,New Feature,njw45,0,4,333.0,51,3,1250,1,1,1,1,0,2,1 days 07:00:36.389000
Major,Bug,esammer,0,6,779.0,53,3,1249,1,1,1,0,0,2,1 days 20:56:34.312000
Minor,Improvement,gareth@logicalpractice.com,0,5,265.0,65,3,1248,1,1,0,0,6,2,0 days 02:58:05.639000
Major,Bug,chengas123,0,5,1097.0,37,3,1247,1,1,1,1,6,2,4 days 21:22:28.112000
Minor,Improvement,qwertymaniac,0,1,1626.0,78,1,1244,1,1,0,0,3,2,0 days 00:01:07.396000
Minor,Improvement,ted.m,0,21,769.0,39,4,1243,1,1,1,0,3,2,5 days 11:00:56.215000
Major,Bug,ted.m,1,8,411.0,52,5,1242,0,0,1,0,2,2,1 days 01:34:20.966000
Major,Improvement,jadler,1,6,486.0,52,6,1241,1,1,1,0,4,2,3 days 01:20:38.990000
Major,Bug,brocknoland,0,8,1331.0,93,3,1240,1,1,1,0,4,2,3 days 22:23:53.519000
Minor,Bug,baunz,0,3,629.0,34,3,1239,1,1,1,2,4,2,3 days 04:38:12.054000
Major,Improvement,mic159,0,7,343.0,35,4,1238,1,0,0,0,4,2,112 days 07:44:32.041000
Minor,Bug,mwagner,0,1,171.0,59,2,1233,1,1,0,0,1,1,2 days 20:58:43.982000
Minor,Improvement,gwu,0,5,707.0,71,2,1232,1,1,1,0,4,1,6 days 22:05:32.023000
Major,Bug,mwagner,0,1,349.0,55,3,1231,0,0,0,0,4,1,3 days 00:07:01.009000
Blocker,Bug,tomwhite,1,10,177.0,57,3,1230,1,1,0,0,4,1,4 days 23:23:42.495000
Major,Improvement,mwagner,1,14,234.0,36,4,1229,0,0,0,0,3,1,8 days 18:22:34.478000
Major,Bug,mwagner,0,7,243.0,47,4,1228,1,1,1,0,3,1,25 days 21:13:52.415000
Major,Bug,scott_carey,0,3,1604.0,51,2,1227,0,0,1,0,2,1,15 days 00:45:40.603000
Trivial,Bug,logicnut,0,1,384.0,30,2,1224,1,0,0,0,5,1,40 days 03:38:44.296000
Trivial,Improvement,ctm,0,4,264.0,69,2,1223,1,1,1,0,3,12,29 days 05:31:23.335000
Major,Bug,rodrigotrujillo,0,4,1746.0,46,3,1221,1,1,1,0,2,12,0 days 05:06:09.103000
Major,Bug,slandelle,0,10,641.0,10,4,1220,1,1,1,0,3,12,57 days 02:29:45.330000
Major,Bug,pjsg,0,3,258.0,67,2,1217,1,0,1,1,4,12,0 days 03:47:00.141000
Major,Bug,matterhayes,0,33,1294.0,62,7,1215,1,1,1,2,4,12,73 days 13:47:07.421000
Major,Improvement,skye,0,9,76.0,29,5,1211,1,0,1,1,3,11,27 days 16:54:34.671000
Trivial,Improvement,dbeech,0,2,147.0,51,2,1210,0,0,1,0,2,11,7 days 12:25:53.847000
Minor,Improvement,jeffkole,0,9,582.0,52,2,1209,1,1,1,0,0,11,9 days 23:08:32.819000
Minor,Improvement,saden1,0,4,44.0,34,2,1207,1,1,1,0,4,11,3 days 05:30:53.618000
Major,Bug,cvigny,0,9,1332.0,29,2,1206,1,0,1,0,4,11,12 days 09:08:04.374000
Minor,New Feature,saden1,0,6,1158.0,44,2,1205,1,1,1,0,2,11,7 days 07:05:21.030000
Major,Improvement,skye,0,11,284.0,44,5,1202,1,0,0,1,4,11,7 days 04:54:01.407000
Major,Bug,saden1,0,10,174.0,47,2,1201,1,1,1,0,4,11,12 days 06:30:55.366000
Major,Bug,tomwhite,0,3,231.0,75,2,1200,1,1,1,0,3,11,0 days 13:03:05.728000
Major,Bug,kimslbing,0,8,835.0,72,2,1199,1,1,1,1,3,11,6 days 15:49:53.073000
Major,Bug,mpercy,0,6,279.0,70,3,1198,1,1,1,0,3,11,96 days 18:50:58.967000
Major,Bug,mpercy,0,5,2502.0,68,2,1197,2,1,0,0,3,11,0 days 20:28:24.210000
Major,New Feature,saden1,0,20,1599.0,39,4,1188,1,1,0,0,5,11,10 days 09:36:28.869000
Major,New Feature,saden1,0,9,1743.0,24,2,1186,1,1,0,0,1,10,6 days 04:06:14.880000
Minor,Bug,jeffreyt,0,8,909.0,70,2,1183,1,1,1,0,2,10,21 days 15:04:23.103000
Major,Bug,drussel,0,5,285.0,80,5,1181,1,0,3,0,1,10,233 days 10:31:20.017000
Major,Bug,viji_r,0,5,523.0,78,4,1179,1,1,1,0,2,10,133 days 22:54:26.286000
Trivial,Bug,martinkl,0,3,96.0,27,3,1178,0,0,1,0,2,10,42 days 21:06:01.209000
Major,Bug,mintman,0,3,1461.0,44,2,1177,1,0,1,1,0,10,58 days 13:57:02.686000
Major,Bug,sandyr,0,14,364.0,112,3,1175,1,1,1,0,3,9,61 days 23:40:22.482000
Minor,Bug,sl.sy.ifm,0,3,112.0,31,3,1174,1,0,1,0,3,9,64 days 03:31:41.649000
Major,Bug,sjoverend,2,7,2171.0,47,5,1172,1,0,1,1,1,9,271 days 21:09:22.022000
Minor,Bug,dbeech,0,3,415.0,62,2,1171,1,1,1,0,5,9,2 days 12:52:58.069000
Major,Bug,tomwhite,0,17,132.0,50,3,1170,1,1,1,0,2,9,7 days 22:52:38.145000
Major,Improvement,hernan.otero,0,3,1392.0,52,2,1169,1,1,1,0,1,9,6 days 02:22:14.540000
Minor,Bug,onetoinfinity@yahoo.com,0,1,680.0,69,2,1168,1,1,1,0,1,9,0 days 00:22:41.164000
Minor,Improvement,lmartinking,0,2,435.0,38,2,1160,1,0,1,1,3,9,0 days 18:24:07.159000
Major,Bug,jbaldassari,0,8,331.0,67,4,1297,1,1,1,2,3,4,94 days 22:55:30.380000
Major,Bug,jbaldassari,0,10,4674.0,85,4,1292,1,1,1,3,1,4,83 days 20:37:13.552000
Major,Test,martinkl,0,5,249.0,40,3,1287,1,0,1,0,2,4,10 days 00:01:00.445000
Major,Bug,cwsteinbach,0,5,0.0,67,4,1279,1,0,1,0,3,3,126 days 18:51:41.997000
Major,New Feature,tomwhite,0,37,86.0,24,7,1274,1,1,0,0,1,3,47 days 20:18:45.920000
Major,Improvement,cutting,0,3,143.0,35,1,1267,1,1,0,0,3,2,3 days 23:18:25.837000
Major,Bug,nagav.ashish,0,14,131.0,95,5,1266,1,1,0,0,3,2,43 days 08:30:18.980000
Minor,Bug,cconner,0,10,754.0,71,5,1261,1,1,1,0,2,2,132 days 02:36:57.728000
Major,Improvement,martinkl,0,6,818.0,42,2,1260,1,0,1,0,2,2,9 days 17:25:09.547000
Major,Improvement,cutting,0,7,349.0,40,2,1259,1,0,0,0,2,2,35 days 22:59:53.651000
Major,Bug,mic159,0,10,244.0,54,5,1237,1,0,0,0,4,2,320 days 07:55:11.820000
Major,Bug,dbeech,1,17,517.0,72,9,1234,0,0,1,0,3,1,329 days 11:14:10.684000
Major,Bug,tomwhite,0,8,194.0,84,4,1155,1,1,0,0,1,9,0 days 21:16:19.341000
Major,Bug,gffletch,0,6,875.0,57,3,1166,1,1,1,0,4,9,3 days 00:41:41.496000
Major,Bug,vnadkarni,0,4,1505.0,56,2,1165,1,0,1,0,4,9,3 days 05:39:09.018000
Trivial,Bug,vnadkarni,0,3,477.0,55,2,1164,1,0,1,0,4,9,3 days 06:01:00.768000
Major,Bug,mpugachev,0,4,74.0,44,3,1163,1,0,1,0,4,9,76 days 21:08:39.723000
Major,Bug,alexandre.normand,0,6,414.0,80,2,1162,1,1,1,2,3,9,0 days 02:26:02.826000
Major,Bug,lmartinking,0,7,1333.0,43,3,1161,1,0,1,1,3,9,4 days 17:01:19.166000
Major,Bug,lmartinking,0,2,256.0,52,2,1159,1,0,1,2,3,9,0 days 18:30:25.909000
Major,Bug,lmartinking,0,3,186.0,52,2,1158,1,0,1,2,3,9,0 days 18:36:46.231000
Minor,Improvement,onetoinfinity@yahoo.com,0,12,315.0,74,3,1157,2,1,1,0,2,9,50 days 00:26:15.615000
Major,Bug,karel1980,0,6,273.0,47,3,1154,0,0,0,0,1,9,2 days 11:00:34.712000
Major,Bug,alexandre.normand,0,9,1424.0,84,2,1153,1,1,1,2,1,9,1 days 23:52:08.580000
Major,Bug,cutting,0,1,190.0,38,1,1152,1,1,1,0,0,9,0 days 00:06:59.805000
Minor,Improvement,hshreedharan,0,6,133.0,73,2,1151,1,1,0,0,0,9,1 days 05:09:36.856000
Minor,Bug,gabriel.reid,0,9,294.0,48,2,1150,1,1,0,0,4,9,9 days 23:55:08.764000
Major,Improvement,gabriel.reid,0,3,375.0,55,2,1149,1,1,0,0,4,9,4 days 01:55:14.623000
Major,Bug,netvisao,0,3,742.0,55,3,1148,1,1,1,1,4,9,157 days 22:31:15.242000
Major,Improvement,alexandre.normand,0,10,485.0,75,2,1147,1,1,1,2,2,9,5 days 04:04:08.976000
Major,Bug,alexandre.normand,0,12,583.0,86,2,1146,1,1,1,1,4,8,9 days 19:41:14.065000
Major,Bug,alexandre.normand,0,5,3284.0,82,2,1145,1,1,1,0,4,8,0 days 04:02:02.801000
Major,Bug,janlugt,0,4,177.0,53,3,1143,1,0,1,0,1,8,11 days 11:33:15.767000
Major,Bug,mnagy,0,4,367.0,73,2,1142,1,0,0,0,1,8,24 days 07:40:05.987000
Major,Bug,mnagy,0,3,198.0,43,2,1141,1,0,1,0,1,8,5 days 15:38:46.280000
Major,Bug,janlugt,0,3,359.0,42,2,1140,1,0,1,0,2,8,4 days 11:02:24.969000
Minor,Improvement,lewismc,0,6,187.0,46,2,1139,1,1,1,0,2,8,0 days 07:31:15.110000
Major,Bug,mpugachev,0,3,285.0,61,2,1138,1,0,1,0,0,8,31 days 07:15:10.800000
Minor,Bug,jeremy@lewi.us,0,3,606.0,35,2,1136,1,1,1,0,6,8,0 days 20:42:09.184000
Major,Bug,thiru_mg,0,3,392.0,30,1,1135,1,0,1,0,6,8,15 days 04:41:31.372000
Major,Bug,pdlug,1,4,11762.0,55,3,1134,1,0,1,0,4,7,124 days 21:22:45.387000
Minor,Bug,lmoss,0,2,667.0,73,2,1131,1,0,1,1,6,7,1 days 09:41:29.301000
Major,Improvement,mpugachev,0,3,260.0,23,2,1129,1,0,1,0,3,7,56 days 10:27:46.800000
Critical,Bug,ekohlwey,0,4,1342.0,72,2,1128,0,0,2,0,1,7,2 days 05:48:24.077000
Major,Improvement,cutting,0,2,303.0,51,1,1125,2,1,0,0,3,7,0 days 00:26:05.166000
Major,Bug,stevenwillis,0,4,199.0,61,3,1123,1,1,3,0,2,6,35 days 02:21:01.311000
Major,Improvement,nagav.ashish,0,4,125.0,107,2,1120,1,1,1,2,3,6,11 days 00:35:00.272000
Major,Bug,sortega,0,11,517.0,27,2,1119,1,1,2,0,2,6,15 days 14:28:03.416000
Major,Bug,mpercy,0,4,1546.0,96,3,1118,0,0,1,0,2,6,0 days 03:33:05.738000
Major,Improvement,lmartinking,0,6,172.0,83,2,1117,1,0,0,0,0,6,4 days 05:22:03.956000
